user_id,place_id,rating,user_prefs
0,125,4,"['Orchard', 'Traditional Architecture', 'Wildlife']"
0,131,2,"['Orchard', 'Traditional Architecture', 'Wildlife']"
0,42,1,"['Orchard', 'Traditional Architecture', 'Wildlife']"
0,915,2,"['Orchard', 'Traditional Architecture', 'Wildlife']"
0,38,2,"['Orchard', 'Traditional Architecture', 'Wildlife']"
0,162,2,"['Orchard', 'Traditional Architecture', 'Wildlife']"
0,618,2,"['Orchard', 'Traditional Architecture', 'Wildlife']"
0,329,3,"['Orchard', 'Traditional Architecture', 'Wildlife']"
0,296,2,"['Orchard', 'Traditional Architecture', 'Wildlife']"
1,255,3,"['Stalactites', 'Lagoon', 'Coastal', 'Boat Tour', 'Landmark']"
1,682,4,"['Stalactites', 'Lagoon', 'Coastal', 'Boat Tour', 'Landmark']"
1,291,4,"['Stalactites', 'Lagoon', 'Coastal', 'Boat Tour', 'Landmark']"
1,663,4,"['Stalactites', 'Lagoon', 'Coastal', 'Boat Tour', 'Landmark']"
1,477,4,"['Stalactites', 'Lagoon', 'Coastal', 'Boat Tour', 'Landmark']"
1,554,5,"['Stalactites', 'Lagoon', 'Coastal', 'Boat Tour', 'Landmark']"
1,37,3,"['Stalactites', 'Lagoon', 'Coastal', 'Boat Tour', 'Landmark']"
1,437,2,"['Stalactites', 'Lagoon', 'Coastal', 'Boat Tour', 'Landmark']"
1,239,2,"['Stalactites', 'Lagoon', 'Coastal', 'Boat Tour', 'Landmark']"
1,580,2,"['Stalactites', 'Lagoon', 'Coastal', 'Boat Tour', 'Landmark']"
1,174,2,"['Stalactites', 'Lagoon', 'Coastal', 'Boat Tour', 'Landmark']"
2,147,3,"['Sculpture', 'Art', 'Boat Ride', 'Tomb', 'Birdwatching']"
2,449,4,"['Sculpture', 'Art', 'Boat Ride', 'Tomb', 'Birdwatching']"
2,839,3,"['Sculpture', 'Art', 'Boat Ride', 'Tomb', 'Birdwatching']"
2,841,5,"['Sculpture', 'Art', 'Boat Ride', 'Tomb', 'Birdwatching']"
2,838,4,"['Sculpture', 'Art', 'Boat Ride', 'Tomb', 'Birdwatching']"
2,844,4,"['Sculpture', 'Art', 'Boat Ride', 'Tomb', 'Birdwatching']"
2,845,4,"['Sculpture', 'Art', 'Boat Ride', 'Tomb', 'Birdwatching']"
2,843,3,"['Sculpture', 'Art', 'Boat Ride', 'Tomb', 'Birdwatching']"
2,913,3,"['Sculpture', 'Art', 'Boat Ride', 'Tomb', 'Birdwatching']"
2,192,1,"['Sculpture', 'Art', 'Boat Ride', 'Tomb', 'Birdwatching']"
2,594,2,"['Sculpture', 'Art', 'Boat Ride', 'Tomb', 'Birdwatching']"
2,724,1,"['Sculpture', 'Art', 'Boat Ride', 'Tomb', 'Birdwatching']"
2,94,5,"['Sculpture', 'Art', 'Boat Ride', 'Tomb', 'Birdwatching']"
2,869,2,"['Sculpture', 'Art', 'Boat Ride', 'Tomb', 'Birdwatching']"
3,283,3,"['Mountain Pass', 'Remote', 'Cultural Exploration', 'Statue', 'Military History']"
3,510,4,"['Mountain Pass', 'Remote', 'Cultural Exploration', 'Statue', 'Military History']"
3,305,3,"['Mountain Pass', 'Remote', 'Cultural Exploration', 'Statue', 'Military History']"
3,483,2,"['Mountain Pass', 'Remote', 'Cultural Exploration', 'Statue', 'Military History']"
3,446,1,"['Mountain Pass', 'Remote', 'Cultural Exploration', 'Statue', 'Military History']"
4,841,3,"['Statues', 'Coral Reefs', 'Homestay', 'Island', 'Legends']"
4,909,4,"['Statues', 'Coral Reefs', 'Homestay', 'Island', 'Legends']"
4,838,4,"['Statues', 'Coral Reefs', 'Homestay', 'Island', 'Legends']"
4,844,3,"['Statues', 'Coral Reefs', 'Homestay', 'Island', 'Legends']"
4,843,4,"['Statues', 'Coral Reefs', 'Homestay', 'Island', 'Legends']"
4,449,4,"['Statues', 'Coral Reefs', 'Homestay', 'Island', 'Legends']"
4,868,3,"['Statues', 'Coral Reefs', 'Homestay', 'Island', 'Legends']"
4,845,4,"['Statues', 'Coral Reefs', 'Homestay', 'Island', 'Legends']"
4,811,3,"['Statues', 'Coral Reefs', 'Homestay', 'Island', 'Legends']"
4,867,4,"['Statues', 'Coral Reefs', 'Homestay', 'Island', 'Legends']"
