user_id,place_id,rating,user_prefs
0,746,2.491686722278107,"[""Sea Walking"", ""Orchard"", ""Ancient Burial Site""]"
0,216,2.3455577016199087,"[""Sea Walking"", ""Orchard"", ""Ancient Burial Site""]"
0,515,1.0931538537071916,"[""Sea Walking"", ""Orchard"", ""Ancient Burial Site""]"
0,241,1.6265199452734584,"[""Sea Walking"", ""Orchard"", ""Ancient Burial Site""]"
0,748,1.7103548604923617,"[""Sea Walking"", ""Orchard"", ""Ancient Burial Site""]"
0,839,2.115074993829387,"[""Sea Walking"", ""Orchard"", ""Ancient Burial Site""]"
0,305,2.171774746153649,"[""Sea Walking"", ""Orchard"", ""Ancient Burial Site""]"
0,643,1.295532896793636,"[""Sea Walking"", ""Orchard"", ""Ancient Burial Site""]"
0,301,1.678788600539272,"[""Sea Walking"", ""Orchard"", ""Ancient Burial Site""]"
0,155,1.3354199447786566,"[""Sea Walking"", ""Orchard"", ""Ancient Burial Site""]"
0,653,1.6399986185986457,"[""Sea Walking"", ""Orchard"", ""Ancient Burial Site""]"
0,753,1.397970936719664,"[""Sea Walking"", ""Orchard"", ""Ancient Burial Site""]"
0,908,1.8135927312889042,"[""Sea Walking"", ""Orchard"", ""Ancient Burial Site""]"
0,544,1.2304229786300125,"[""Sea Walking"", ""Orchard"", ""Ancient Burial Site""]"
0,252,2.06994632672416,"[""Sea Walking"", ""Orchard"", ""Ancient Burial Site""]"
0,321,2.079367133885139,"[""Sea Walking"", ""Orchard"", ""Ancient Burial Site""]"
0,117,2.0029868133603435,"[""Sea Walking"", ""Orchard"", ""Ancient Burial Site""]"
0,109,1.8685861359560532,"[""Sea Walking"", ""Orchard"", ""Ancient Burial Site""]"
0,146,1.9515558682122542,"[""Sea Walking"", ""Orchard"", ""Ancient Burial Site""]"
0,791,1.807617247296298,"[""Sea Walking"", ""Orchard"", ""Ancient Burial Site""]"
1,172,2.2634233840096045,"[""Vineyard"", ""Scholarly Tradition"", ""Floating Houses"", ""Mountainous Landscape""]"
1,588,2.404047584364341,"[""Vineyard"", ""Scholarly Tradition"", ""Floating Houses"", ""Mountainous Landscape""]"
1,610,1.6575955306129226,"[""Vineyard"", ""Scholarly Tradition"", ""Floating Houses"", ""Mountainous Landscape""]"
1,582,1.2447224186779722,"[""Vineyard"", ""Scholarly Tradition"", ""Floating Houses"", ""Mountainous Landscape""]"
1,441,1.4338970117472933,"[""Vineyard"", ""Scholarly Tradition"", ""Floating Houses"", ""Mountainous Landscape""]"
1,246,1.4255873443696117,"[""Vineyard"", ""Scholarly Tradition"", ""Floating Houses"", ""Mountainous Landscape""]"
1,378,2.4577490174002916,"[""Vineyard"", ""Scholarly Tradition"", ""Floating Houses"", ""Mountainous Landscape""]"
1,403,2.073913988311128,"[""Vineyard"", ""Scholarly Tradition"", ""Floating Houses"", ""Mountainous Landscape""]"
1,428,2.2135147114304266,"[""Vineyard"", ""Scholarly Tradition"", ""Floating Houses"", ""Mountainous Landscape""]"
1,199,1.4431678618723085,"[""Vineyard"", ""Scholarly Tradition"", ""Floating Houses"", ""Mountainous Landscape""]"
1,177,2.429921341476203,"[""Vineyard"", ""Scholarly Tradition"", ""Floating Houses"", ""Mountainous Landscape""]"
1,596,1.3261238781379876,"[""Vineyard"", ""Scholarly Tradition"", ""Floating Houses"", ""Mountainous Landscape""]"
1,547,1.7779034183979192,"[""Vineyard"", ""Scholarly Tradition"", ""Floating Houses"", ""Mountainous Landscape""]"
1,344,2.1631529737865,"[""Vineyard"", ""Scholarly Tradition"", ""Floating Houses"", ""Mountainous Landscape""]"
1,316,2.1985658629372304,"[""Vineyard"", ""Scholarly Tradition"", ""Floating Houses"", ""Mountainous Landscape""]"
1,43,1.4602659763072487,"[""Vineyard"", ""Scholarly Tradition"", ""Floating Houses"", ""Mountainous Landscape""]"
